URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-data-category-cs,0.1.0,active,,EHDSDataCategoryCodeSystem,EHDS Data Category Code System,"Codes representing categories of electronic health data that may be made available for secondary use under the EHDS.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-secondary-use-purpose-cs,0.1.0,active,,EHDSSecondaryUsePurposeCodeSystem,EHDS Secondary-Use Purpose Code System,"Codes representing permitted categories of purpose for the secondary use of electronic health data under the EHDS.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/ehds-usage-category-cs,0.1.0,active,,EHDSUsageCategoryCodeSystem,EHDS Usage Category Code System,"Codes distinguishing primary use from secondary use of electronic health data in the context of the European Health Data Space.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-artifact-type-cs,0.1.0,active,,EUAIArtifactTypeCodeSystem,EU AI Artifact Type Code System,"Codes identifying AI-related documentation artifacts represented by this implementation guide.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-audit-entity-role,0.1.0,draft,,EUAIAuditEntityRoleCodeSystem,EU AI Audit Entity Role Code System,"Roles used to distinguish entities involved in an AI execution audit event.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-case-specific-indication-cs,0.1.0,active,,EUAICaseSpecificIndicationCodeSystem,EU AI Case-Specific Indication Code System,"Codes describing the clinical purpose for which an AI system was applied in an individual case.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-clinical-validation-status-cs,0.1.0,active,,EUAIClinicalValidationStatusCodeSystem,EU AI Clinical Validation Status Code System,"Codes indicating the documented clinical validation status of an AI system for its intended clinical use.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-contact-purpose-cs,0.1.0,active,,EUAIContactPurposeCodeSystem,EU AI Contact Purpose Code System,"Codes identifying organizational contact responsibilities relevant to data protection and AI-system governance.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-data-quality-cs,0.1.0,active,,EUAIDataQualityCodeSystem,EU AI Data Quality Code System,"Codes describing assessed data-quality characteristics relevant to the development, validation, testing, or evaluation of an AI system.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-human-oversight-cs,0.1.0,active,,EUAIHumanOversightCodeSystem,EU AI Human Oversight Code System,"Codes describing actions taken by a human reviewer in response to an AI-generated output or recommendation.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-identifier-type-cs,0.1.0,active,,EUAIIdentifierTypeCodeSystem,EU AI Identifier Type Code System,"Codes identifying regulatory identifier types associated with an AI system.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-involvement-cs,0.1.0,active,,EUAIInvolvementCodeSystem,EU AI Involvement Code System,"Codes indicating the manner in which an AI system contributed to the content represented by a FHIR resource.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-performance-metric-cs,0.1.0,active,,EUAIPerformanceMetricCodeSystem,EU AI Performance Metric Code System,"Codes identifying performance characteristics used to document the evaluation of an AI system.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/eu-ai-system-property-cs,0.1.0,active,,EUAISystemPropertyCodeSystem,EU AI System Property Code System,"Codes identifying structured properties used to describe regulatory and operational characteristics of an AI system in Device.property.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/gdpr-art6-codesystem,0.1.0,active,,GDPRArt6CodeSystem,GDPR Article 6 Legal Basis Code System,"Codes representing the legal bases listed in Article 6(1) GDPR for processing personal data.",
http://example.org/fhir/eu-ai-transparency/CodeSystem/gdpr-art9-codesystem,0.1.0,active,,GDPRArt9CodeSystem,GDPR Article 9 Condition Code System,"Codes representing selected conditions in Article 9(2) GDPR under which special categories of personal data may be processed.",
